id,nb_blocks,nb_instructions,reuse,distance
1102,3,21,143,4529689
1103,14,81,2,1625
1104,9,71,2,1625
1105,8,67,2,1625
1106,4,27,2,1625
1107,7,33,2,1625
1108,21,101,1,0
1109,8,33,1,0
1110,1,18,1,0
1111,11,90,2,1523
1112,7,41,2,1523
1113,4,22,2,1523
1114,7,59,1,0
1115,8,67,1,0
1116,8,50,1,0
1117,9,54,1,0
1118,17,104,1,0
1119,12,59,1,0
1120,6,31,1,0
1121,4,26,1,0
1122,12,59,1,0
1123,6,36,1,0
1124,2,15,1,0
1125,4,47,1,0
1126,5,28,1,0
1127,1,7,1,0
1128,4,19,1,0
1129,10,48,1,0
1130,11,50,89,4532319
1131,7,35,1,0
1132,25,165,1,0
1133,4,35,1,0
1134,4,32,1,0
1135,3,60,1,0
1136,10,76,1,0
1137,3,16,2,1787
1138,6,31,1,0
1139,1,7,1,0
1140,327,1000,1,0
1141,204,651,1,0
1142,10,82,1,0
1143,21,126,1,0
1144,11,55,1,0
1145,5,47,1,0
1146,1,25,1,0
1147,7,69,1,0
1148,1,7,1,0
1149,11,47,2,47
1150,10,53,1,0
1151,8,47,1,0
1152,7,31,258,4486104
1153,5,30,258,4486104
1154,17,102,2,394
1155,5,33,1,0
1156,23,136,1,0
1157,7,34,88,4485684
1158,6,31,86,4485684
1159,8,40,3,3735962
1160,2,13,3,3735962
1161,6,25,3,3735962
1162,3,21,3,3735962
1163,1,9,3,3735962
1164,3,18,3,3735962
1165,4,38,501,4520169
1166,4,36,490,4520169
1167,1,18,501,4520169
1168,7,36,501,4520169
1169,1,11,501,4520169
1170,1,10,501,4520169
1171,5,36,88,4486172
1172,10,42,88,4486172
1173,4,32,88,4486172
1174,15,77,87,4486172
1175,14,70,88,4486172
1176,5,33,6,3749789
1177,14,69,6,3749789
1178,1,11,6,3749789
1179,8,55,6,3749789
1180,8,59,6,3749789
1181,1,8,6,3749789
1182,1,10,6,3749789
1183,4,31,6,3749789
1184,2,10,88,4485927
1185,2,12,501,4519640
1186,261,1000,87,4485927
1187,55,173,2,89357
1188,5,48,3,3735998
1189,4,19,3,3735998
1190,2,3,3,3735998
1191,2,9,3,3735998
1192,3,9,3,3735998
1193,7,30,382,4520034
1194,3,15,382,4520034
1195,3,17,3,3735998
1196,3,18,3,3735998
1197,10,37,395,4519964
1198,2,8,395,4519964
1199,13,116,1,0
1200,4,18,3,3735920
1201,1,6,3,3735920
1202,4,19,3,3735920
1203,3,20,3,3735920
1204,2,14,3,3735920
1205,2,10,3,3735920
1206,2,11,3,3735920
1207,2,11,3,3735920
1208,4,34,3,3735920
1209,3,29,13,3738957
1210,16,142,1,0
1211,3,20,13,3739069
1212,5,28,13,3739069
1213,2,12,13,3739069
1214,1,5,13,3739069
1215,9,37,13,3739069
1216,11,44,3,3737654
1217,5,11,6,3738445
1218,3,7,13,3739038
1219,1,8,13,3739038
1220,4,30,3,3737654
1221,55,536,1,0
1222,11,45,3,3737542
1223,5,34,3,3737542
1224,65,634,1,0
1225,7,16,5,3737162
1226,3,8,5,3737162
1227,118,1000,1,0
1228,68,570,1,0
1229,3,12,3,3737239
1230,3,8,3,3737239
1231,2,7,3,3737239
1232,4,10,3,3737239
1233,8,31,3,3737239
1234,3,7,3,3737239
1235,9,72,3,3737239
1236,10,110,3,3737239
1237,4,29,501,4515429
1238,28,130,501,4515429
1239,4,63,501,4515429
1240,7,43,501,4515429
1241,1,9,501,4515429
1242,4,21,501,4515429
1243,6,35,501,4515429
1244,4,29,501,4515429
1245,2,10,501,4515429
1246,22,87,3,3737239
1247,3,27,3,3737239
1248,5,22,3,3737239
1249,13,72,3,3737239
1250,12,66,3,3737239
